Nome do Banco;CNPJ;Classificação do Banco;Quantidade de Clientes do Bancos;Índice de reclamações;Quantidade de reclamações;Índice de satisfação dos funcionários dos bancos;Índice de satisfação com salários dos funcionários dos bancos;ano_tri
BANCO FICSA S.A.;61348538;S4;;0.0;;0.0;0.0;
BANCO FIDIS;62237425;S4;6907;;2.0;0.0;0.0;202101
BANCO FIDIS;62237425;S4;5972;;2.0;0.0;0.0;202102
BANCO FIDIS;62237425;S4;4661;;11.0;0.0;0.0;202103
BANCO FIDIS;62237425;S4;892;;1.0;0.0;0.0;202201
BANCO FORD S.A.;90731688;S4;341;;2.0;0.0;0.0;202102
BANCO GMAC S.A.;59274605;S3;;0.0;;0.0;0.0;
BANCO GUANABARA S.A.;31880826;S4;2296;;1.0;0.0;0.0;202104
BANCO IBM S.A.;34270520;S4;;0.0;;0.0;0.0;
BANCO INDUSCRED DE INVESTIM. S/A;33588252;S4;104;;1.0;0.0;0.0;202201
BANCO ITAU S/A;33058660;S1;;0.0;;0.0;0.0;
BANCO ITAUBANK S.A.;60394079;S1;;0.0;;0.0;0.0;
BANCO KDB BRASIL S.A.;7656500;S4;;0.0;;0.0;0.0;
BANCO KEB DO BRASIL SA;2318507;S4;;0.0;;0.0;0.0;
BANCO KOMATSU DO BRASIL;23903068;S4;726;;1.0;0.0;0.0;202104
BANCO LA NACION ARGENTINA;33042151;S4;256;;1.0;0.0;0.0;202103
BANCO LA NACION ARGENTINA;33042151;S4;267;;2.0;0.0;0.0;202203
BANCO LA PROVINCIA B AIRES BCE;44189447;S4;;0.0;;0.0;0.0;
BANCO LUSO BRASILEIRO S.A.;59118133;S4;10071;;1.0;0.0;0.0;202101
BANCO LUSO BRASILEIRO S.A.;59118133;S4;9668;;1.0;0.0;0.0;202102
BANCO LUSO BRASILEIRO S.A.;59118133;S4;9589;;1.0;0.0;0.0;202104
BANCO MAXINVEST S.A.;80271455;S4;2261;;1.0;0.0;0.0;202201
BANCO MAXINVEST S.A.;80271455;S4;2452;;1.0;0.0;0.0;202203
BANCO MERCANTIL DO BRASIL S.A;17184037;S3;;0.0;;0.0;0.0;
BANCO MODAL S.A.;30723886;S4;;0.0;;0.0;0.0;
BANCO MONEO S.A.;7441209;S4;1135;;1.0;0.0;0.0;202204
BANCO ORIGINAL S/A;92894922;S3;;0.0;;0.0;0.0;
BANCO PAN;13258615;S3;;0.0;;0.0;0.0;
BANCO PAN S.A;59285411;S3;;0.0;;0.0;0.0;
BANCO PORTO REAL DE INVEST.S.A;40429946;S4;;0.0;;0.0;0.0;
BANCO POTTENCIAL S.A.;253448;S4;;0.0;;0.0;0.0;
BANCO RABOBANK INTL BRASIL S.A.;1023570;S3;;0.0;;0.0;0.0;
BANCO REP ORIENTAL URUGUAY BCE;51938876;S4;;0.0;;0.0;0.0;
BANCO RIBEIR�O PRETO;517645;S4;;0.0;;0.0;0.0;
BANCO SAFRA S/A;58160789;S2;;0.0;;0.0;0.0;
BANCO SAFRA S/A;7002898;S2;;0.0;;0.0;0.0;
BANCO SANTADER S/A.;33517640;S1;;0.0;;0.0;0.0;
BANCO SANTANDER (BRASIL) S/A;90400888;S1;;0.0;;0.0;0.0;
BANCO SEMEAR;795423;S4;;0.0;;0.0;0.0;
BANCO STANDARD INV S.A.;4866275;S4;;0.0;;0.0;0.0;
BANCO SUMITOMO MITSUI BRASIL S.A.;60518222;S3;1063;;2.0;3.4;3.3;202102
BANCO SUMITOMO MITSUI BRASIL S.A.;60518222;S3;1180;;2.0;3.4;3.3;202204
BANCO TOKYO-MITSUBISHI BM S.A.;60498557;S3;;0.0;;3.6;3.6;
BANCO TOP�ZIO S.A.;7679404;S4;;0.0;;0.0;0.0;
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;164435;;1.0;0.0;0.0;202101
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;159896;;13.0;0.0;0.0;202102
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;155981;;8.0;0.0;0.0;202103
